 frequency           gain_db             phase_rad          
 1.000000000000e-01  7.373175524577e+01 -1.374830418736e-04 
 1.023292992281e-01  7.373175524190e+01 -1.406887143745e-04 
 1.047128548051e-01  7.373175523784e+01 -1.439689818900e-04 
 1.071519305238e-01  7.373175523360e+01 -1.473255836611e-04 
 1.096478196143e-01  7.373175522915e+01 -1.507602994022e-04 
 1.122018454302e-01  7.373175522450e+01 -1.542749502448e-04 
 1.148153621497e-01  7.373175521962e+01 -1.578713997029e-04 
 1.174897554940e-01  7.373175521452e+01 -1.615515546612e-04 
 1.202264434617e-01  7.373175520917e+01 -1.653173663862e-04 
 1.230268770812e-01  7.373175520358e+01 -1.691708315606e-04 
 1.258925411794e-01  7.373175519771e+01 -1.731139933424e-04 
 1.288249551693e-01  7.373175519158e+01 -1.771489424475e-04 
 1.318256738556e-01  7.373175518515e+01 -1.812778182589e-04 
 1.348962882592e-01  7.373175517842e+01 -1.855028099606e-04 
 1.380384264603e-01  7.373175517138e+01 -1.898261576986e-04 
 1.412537544623e-01  7.373175516400e+01 -1.942501537683e-04 
 1.445439770746e-01  7.373175515627e+01 -1.987771438303e-04 
 1.479108388168e-01  7.373175514818e+01 -2.034095281540e-04 
 1.513561248436e-01  7.373175513971e+01 -2.081497628901e-04 
 1.548816618912e-01  7.373175513084e+01 -2.130003613729e-04 
 1.584893192461e-01  7.373175512155e+01 -2.179638954531e-04 
 1.621810097359e-01  7.373175511183e+01 -2.230429968610e-04 
 1.659586907438e-01  7.373175510164e+01 -2.282403586025e-04 
 1.698243652462e-01  7.373175509098e+01 -2.335587363864e-04 
 1.737800828749e-01  7.373175507981e+01 -2.390009500858e-04 
 1.778279410039e-01  7.373175506812e+01 -2.445698852332e-04 
 1.819700858610e-01  7.373175505587e+01 -2.502684945504e-04 
 1.862087136663e-01  7.373175504305e+01 -2.560997995138e-04 
 1.905460717963e-01  7.373175502962e+01 -2.620668919571e-04 
 1.949844599758e-01  7.373175501556e+01 -2.681729357099e-04 
 1.995262314969e-01  7.373175500084e+01 -2.744211682756e-04 
 2.041737944670e-01  7.373175498543e+01 -2.808149025479e-04 
 2.089296130854e-01  7.373175496929e+01 -2.873575285672e-04 
 2.137962089502e-01  7.373175495238e+01 -2.940525153182e-04 
 2.187761623950e-01  7.373175493469e+01 -3.009034125691e-04 
 2.238721138568e-01  7.373175491615e+01 -3.079138527538e-04 
 2.290867652768e-01  7.373175489675e+01 -3.150875528976e-04 
 2.344228815320e-01  7.373175487642e+01 -3.224283165884e-04 
 2.398832919019e-01  7.373175485515e+01 -3.299400359930e-04 
 2.454708915685e-01  7.373175483286e+01 -3.376266939213e-04 
 2.511886431510e-01  7.373175480953e+01 -3.454923659372e-04 
 2.570395782769e-01  7.373175478510e+01 -3.535412225203e-04 
 2.630267991895e-01  7.373175475952e+01 -3.617775312768e-04 
 2.691534803927e-01  7.373175473273e+01 -3.702056592021e-04 
 2.754228703338e-01  7.373175470468e+01 -3.788300749963e-04 
 2.818382931264e-01  7.373175467531e+01 -3.876553514339e-04 
 2.884031503127e-01  7.373175464455e+01 -3.966861677876e-04 
 2.951209226666e-01  7.373175461234e+01 -4.059273123099e-04 
 3.019951720402e-01  7.373175457862e+01 -4.153836847718e-04 
 3.090295432514e-01  7.373175454330e+01 -4.250602990601e-04 
 3.162277660168e-01  7.373175450633e+01 -4.349622858367e-04 
 3.235936569296e-01  7.373175446760e+01 -4.450948952584e-04 
 3.311311214826e-01  7.373175442706e+01 -4.554634997602e-04 
 3.388441561392e-01  7.373175438460e+01 -4.660735969048e-04 
 3.467368504525e-01  7.373175434014e+01 -4.769308122965e-04 
 3.548133892336e-01  7.373175429359e+01 -4.880409025644e-04 
 3.630780547701e-01  7.373175424484e+01 -4.994097584144e-04 
 3.715352290972e-01  7.373175419380e+01 -5.110434077526e-04 
 3.801893963206e-01  7.373175414035e+01 -5.229480188814e-04 
 3.890451449943e-01  7.373175408438e+01 -5.351299037694e-04 
 3.981071705535e-01  7.373175402577e+01 -5.475955213991e-04 
 4.073802778041e-01  7.373175396441e+01 -5.603514811902e-04 
 4.168693834703e-01  7.373175390014e+01 -5.734045465050e-04 
 4.265795188016e-01  7.373175383285e+01 -5.867616382336e-04 
 4.365158322402e-01  7.373175376239e+01 -6.004298384637e-04 
 4.466835921510e-01  7.373175368861e+01 -6.144163942358e-04 
 4.570881896149e-01  7.373175361135e+01 -6.287287213848e-04 
 4.677351412872e-01  7.373175353045e+01 -6.433744084726e-04 
 4.786300923226e-01  7.373175344574e+01 -6.583612208112e-04 
 4.897788193684e-01  7.373175335704e+01 -6.736971045800e-04 
 5.011872336273e-01  7.373175326415e+01 -6.893901910386e-04 
 5.128613839914e-01  7.373175316689e+01 -7.054488008383e-04 
 5.248074602498e-01  7.373175306504e+01 -7.218814484334e-04 
 5.370317963703e-01  7.373175295840e+01 -7.386968465958e-04 
 5.495408738576e-01  7.373175284672e+01 -7.559039110340e-04 
 5.623413251903e-01  7.373175272979e+01 -7.735117651205e-04 
 5.754399373372e-01  7.373175260734e+01 -7.915297447291e-04 
 5.888436553556e-01  7.373175247912e+01 -8.099674031841e-04 
 6.025595860744e-01  7.373175234486e+01 -8.288345163261e-04 
 6.165950018615e-01  7.373175220428e+01 -8.481410876943e-04 
 6.309573444802e-01  7.373175205706e+01 -8.678973538308e-04 
 6.456542290347e-01  7.373175190291e+01 -8.881137897079e-04 
 6.606934480076e-01  7.373175174150e+01 -9.088011142812e-04 
 6.760829753920e-01  7.373175157247e+01 -9.299702961732e-04 
 6.918309709189e-01  7.373175139548e+01 -9.516325594885e-04 
 7.079457843841e-01  7.373175121015e+01 -9.737993897644e-04 
 7.244359600750e-01  7.373175101609e+01 -9.964825400607e-04 
 7.413102413009e-01  7.373175081288e+01 -1.019694037190e-03 
 7.585775750292e-01  7.373175060009e+01 -1.043446188096e-03 
 7.762471166287e-01  7.373175037727e+01 -1.067751586376e-03 
