 frequency              v(out)                 v(out)                
 1.000000000000000e+00  9.999940000150004e+02 -2.999990000021000e+00 
 1.023292992280754e+00  9.999937172451586e+02 -3.069868261672771e+00 
 1.047128548050899e+00  9.999934211488567e+02 -3.141374162642919e+00 
 1.071519305237606e+00  9.999931110980450e+02 -3.214545613054773e+00 
 1.096478196143185e+00  9.999927864350735e+02 -3.289421405895449e+00 
 1.122018454301963e+00  9.999924464713025e+02 -3.366041237567785e+00 
 1.148153621496882e+00  9.999920904856355e+02 -3.444445728920062e+00 
 1.174897554939529e+00  9.999917177229944e+02 -3.524676446764626e+00 
 1.202264434617413e+00  9.999913273927150e+02 -3.606775925896699e+00 
 1.230268770812381e+00  9.999909186668725e+02 -3.690787691624962e+00 
 1.258925411794167e+00  9.999904906785238e+02 -3.776756282825758e+00 
 1.288249551693134e+00  9.999900425198691e+02 -3.864727275533017e+00 
 1.318256738556407e+00  9.999895732403264e+02 -3.954747307076292e+00 
 1.348962882591653e+00  9.999890818445182e+02 -4.046864100779606e+00 
 1.380384264602885e+00  9.999885672901535e+02 -4.141126491233981e+00 
 1.412537544622754e+00  9.999880284858261e+02 -4.237584450157041e+00 
 1.445439770745927e+00  9.999874642886920e+02 -4.336289112853075e+00 
 1.479108388168207e+00  9.999868735020501e+02 -4.437292805287592e+00 
 1.513561248436208e+00  9.999862548728045e+02 -4.540649071790387e+00 
 1.548816618912481e+00  9.999856070888017e+02 -4.646412703401694e+00 
 1.584893192461113e+00  9.999849287760542e+02 -4.754639766876281e+00 
 1.621810097358929e+00  9.999842184958229e+02 -4.865387634360529e+00 
 1.659586907437560e+00  9.999834747415657e+02 -4.978715013758088e+00 
 1.698243652461743e+00  9.999826959357449e+02 -5.094681979799923e+00 
 1.737800828749374e+00  9.999818804264786e+02 -5.213350005834922e+00 
 1.778279410038922e+00  9.999810264840378e+02 -5.334781996357680e+00 
 1.819700858609982e+00  9.999801322971820e+02 -5.459042320290342e+00 
 1.862087136662866e+00  9.999791959693113e+02 -5.586196845035822e+00 
 1.905460717963246e+00  9.999782155144507e+02 -5.716312971320134e+00 
 1.949844599758044e+00  9.999771888530352e+02 -5.849459668841856e+00 
 1.995262314968878e+00  9.999761138074990e+02 -5.985707512747233e+00 
 2.041737944669527e+00  9.999749880976598e+02 -6.125128720949860e+00 
 2.089296130854037e+00  9.999738093358822e+02 -6.267797192314192e+00 
 2.137962089502230e+00  9.999725750220149e+02 -6.413788545722619e+00 
 2.187761623949550e+00  9.999712825380876e+02 -6.563180160046326e+00 
 2.238721138568337e+00  9.999699291427620e+02 -6.716051215040488e+00 
 2.290867652767770e+00  9.999685119655152e+02 -6.872482733184848e+00 
 2.344228815319919e+00  9.999670280005568e+02 -7.032557622491261e+00 
 2.398832919019488e+00  9.999654741004508e+02 -7.196360720300072e+00 
 2.454708915685027e+00  9.999638469694463e+02 -7.363978838087871e+00 
 2.511886431509577e+00  9.999621431564849e+02 -7.535500807309460e+00 
 2.570395782768860e+00  9.999603590478856e+02 -7.711017526297548e+00 
 2.630267991895378e+00  9.999584908596808e+02 -7.890622008243984e+00 
 2.691534803926912e+00  9.999565346295961e+02 -8.074409430287053e+00 
 2.754228703338163e+00  9.999544862086454e+02 -8.262477183729628e+00 
 2.818382931264450e+00  9.999523412523389e+02 -8.454924925413827e+00 
 2.884031503126602e+00  9.999500952114644e+02 -8.651854630277892e+00 
 2.951209226666381e+00  9.999477433224504e+02 -8.853370645122109e+00 
 3.019951720402012e+00  9.999452805972630e+02 -9.059579743610577e+00 
 3.090295432513586e+00  9.999427018128304e+02 -9.270591182536593e+00 
 3.162277660168374e+00  9.999400014999721e+02 -9.486516759379777e+00 
 3.235936569296277e+00  9.999371739318024e+02 -9.707470871183641e+00 
 3.311311214825905e+00  9.999342131115910e+02 -9.933570574783037e+00 
 3.388441561392020e+00  9.999311127600525e+02 -1.016493564841123e+01 
 3.467368504525310e+00  9.999278663020340e+02 -1.040168865471717e+01 
 3.548133892335748e+00  9.999244668525766e+02 -1.064395500522401e+01 
 3.630780547701007e+00  9.999209072023235e+02 -1.089186302626050e+01 
 3.715352290971718e+00  9.999171798022415e+02 -1.114554402639768e+01 
 3.801893963205605e+00  9.999132767476149e+02 -1.140513236542343e+01 
 3.890451449942799e+00  9.999091897612983e+02 -1.167076552488882e+01 
 3.981071705534965e+00  9.999049101761705e+02 -1.194258418025984e+01 
 4.073802778041119e+00  9.999004289167686e+02 -1.222073227470968e+01 
 4.168693834703346e+00  9.998957364800556e+02 -1.250535709458661e+01 
 4.265795188015918e+00  9.998908229152813e+02 -1.279660934659348e+01 
 4.365158322401651e+00  9.998856778028994e+02 -1.309464323671552e+01 
 4.466835921509622e+00  9.998802902324873e+02 -1.339961655093332e+01 
 4.570881896148741e+00  9.998746487796308e+02 -1.371169073775921e+01 
 4.677351412871972e+00  9.998687414817215e+02 -1.403103099263501e+01 
 4.786300923226373e+00  9.998625558126095e+02 -1.435780634423052e+01 
 4.897788193684452e+00  9.998560786560712e+02 -1.469218974268202e+01 
 5.011872336272712e+00  9.998492962780259e+02 -1.503435814981131e+01 
 5.128613839913638e+00  9.998421942974418e+02 -1.538449263136577e+01 
 5.248074602497715e+00  9.998347576558787e+02 -1.574277845132096e+01 
 5.370317963702516e+00  9.998269705855970e+02 -1.610940516828754e+01 
 5.495408738576233e+00  9.998188165761670e+02 -1.648456673406513e+01 
 5.623413251903478e+00  9.998102783395043e+02 -1.686846159438566e+01 
 5.754399373371556e+00  9.998013377732665e+02 -1.726129279189022e+01 
 5.888436553555876e+00  9.997919759225274e+02 -1.766326807138273e+01 
 6.025595860743564e+00  9.997821729396494e+02 -1.807459998740529e+01 
 6.165950018614807e+00  9.997719080422652e+02 -1.849550601417959e+01 
 6.309573444801917e+00  9.997611594692993e+02 -1.892620865795991e+01 
 6.456542290346539e+00  9.997499044349019e+02 -1.936693557184272e+01 
 6.606934480075944e+00  9.997381190802383e+02 -1.981791967307926e+01 
 6.760829753919801e+00  9.997257784229990e+02 -2.027939926293652e+01 
 6.918309709189348e+00  9.997128563045516e+02 -2.075161814915348e+01 
 7.079457843841362e+00  9.996993253345955e+02 -2.123482577103834e+01 
 7.244359600749883e+00  9.996851568332340e+02 -2.172927732725383e+01 
 7.413102413009157e+00  9.996703207703148e+02 -2.223523390633658e+01 
 7.585775750291819e+00  9.996547857019312e+02 -2.275296261999717e+01 
 7.762471166286898e+00  9.996385187039382e+02 -2.328273673924709e+01 
 7.943282347242794e+00  9.996214853023553e+02 -2.382483583339859e+01 
 8.128305161640972e+00  9.996036494004964e+02 -2.437954591198295e+01 
 8.317637711026689e+00  9.995849732026918e+02 -2.494715956963260e+01 
 8.511380382023743e+00  9.995654171344304e+02 -2.552797613397168e+01 
 8.709635899560784e+00  9.995449397587525e+02 -2.612230181655862e+01 
 8.912509381337431e+00  9.995234976887358e+02 -2.673044986692444e+01 
 9.120108393559072e+00  9.995010454958739e+02 -2.735274072974843e+01 
 9.332543007969884e+00  9.994775356141657e+02 -2.798950220521220e+01 
 9.549925860214332e+00  9.994529182397155e+02 -2.864106961257197e+01 
 9.772372209558078e+00  9.994271412256295e+02 -2.930778595698686e+01 
 9.999999999999970e+00  9.994001499720044e+02 -2.999000209963996e+01 
 1.023292992280751e+01  9.993718873107563e+02 -3.068807693118601e+01 
 1.047128548050896e+01  9.993422933850750e+02 -3.140237754855843e+01 
