 frequency           gain_db             phase_rad          
 1.000000000000e-01  1.384042631024e+02 -5.779851274497e-01 
 1.023292992281e-01  1.383435959578e+02 -5.885698555769e-01 
 1.047128548051e-01  1.382809650911e+02 -5.992484710701e-01 
 1.071519305238e-01  1.382163364238e+02 -6.100168941340e-01 
 1.096478196143e-01  1.381496771545e+02 -6.208708448284e-01 
 1.122018454302e-01  1.380809558725e+02 -6.318058487369e-01 
 1.148153621497e-01  1.380101426679e+02 -6.428172436285e-01 
 1.174897554940e-01  1.379372092403e+02 -6.539001871100e-01 
 1.202264434617e-01  1.378621290030e+02 -6.650496652533e-01 
 1.230268770812e-01  1.377848771837e+02 -6.762605021760e-01 
 1.258925411794e-01  1.377054309191e+02 -6.875273705443e-01 
 1.288249551693e-01  1.376237693449e+02 -6.988448029553e-01 
 1.318256738556e-01  1.375398736780e+02 -7.102072041495e-01 
 1.348962882592e-01  1.374537272923e+02 -7.216088639946e-01 
 1.380384264603e-01  1.373653157866e+02 -7.330439711713e-01 
 1.412537544623e-01  1.372746270434e+02 -7.445066274877e-01 
 1.445439770746e-01  1.371816512795e+02 -7.559908627384e-01 
 1.479108388168e-01  1.370863810870e+02 -7.674906500190e-01 
 1.513561248436e-01  1.369888114641e+02 -7.789999214035e-01 
 1.548816618912e-01  1.368889398364e+02 -7.905125838840e-01 
 1.584893192461e-01  1.367867660679e+02 -8.020225354721e-01 
 1.621810097359e-01  1.366822924613e+02 -8.135236813589e-01 
 1.659586907438e-01  1.365755237487e+02 -8.250099500280e-01 
 1.698243652462e-01  1.364664670711e+02 -8.364753092185e-01 
 1.737800828749e-01  1.363551319487e+02 -8.479137816362e-01 
 1.778279410039e-01  1.362415302408e+02 -8.593194603138e-01 
 1.819700858610e-01  1.361256760970e+02 -8.706865235251e-01 
 1.862087136663e-01  1.360075858984e+02 -8.820092491640e-01 
 1.905460717963e-01  1.358872781911e+02 -8.932820285050e-01 
 1.949844599758e-01  1.357647736114e+02 -9.044993792683e-01 
 1.995262314969e-01  1.356400948040e+02 -9.156559579211e-01 
 2.041737944670e-01  1.355132663330e+02 -9.267465711561e-01 
 2.089296130854e-01  1.353843145876e+02 -9.377661864937e-01 
 2.137962089502e-01  1.352532676822e+02 -9.487099419674e-01 
 2.187761623950e-01  1.351201553524e+02 -9.595731548595e-01 
 2.238721138568e-01  1.349850088473e+02 -9.703513294618e-01 
 2.290867652768e-01  1.348478608186e+02 -9.810401638490e-01 
 2.344228815320e-01  1.347087452079e+02 -9.916355556574e-01 
 2.398832919019e-01  1.345676971332e+02 -1.002133606874e+00 
 2.454708915685e-01  1.344247527733e+02 -1.012530627646e+00 
 2.511886431510e-01  1.342799492540e+02 -1.022823139126e+00 
 2.570395782769e-01  1.341333245340e+02 -1.033007875388e+00 
 2.630267991895e-01  1.339849172923e+02 -1.043081784436e+00 
 2.691534803927e-01  1.338347668181e+02 -1.053042028347e+00 
 2.754228703338e-01  1.336829129024e+02 -1.062885982592e+00 
 2.818382931264e-01  1.335293957333e+02 -1.072611234576e+00 
 2.884031503127e-01  1.333742557938e+02 -1.082215581455e+00 
 2.951209226666e-01  1.332175337648e+02 -1.091697027273e+00 
 3.019951720402e-01  1.330592704302e+02 -1.101053779475e+00 
 3.090295432514e-01  1.328995065885e+02 -1.110284244862e+00 
 3.162277660168e-01  1.327382829669e+02 -1.119387025018e+00 
 3.235936569296e-01  1.325756401419e+02 -1.128360911298e+00 
 3.311311214826e-01  1.324116184634e+02 -1.137204879401e+00 
 3.388441561392e-01  1.322462579847e+02 -1.145918083598e+00 
 3.467368504525e-01  1.320795983967e+02 -1.154499850670e+00 
 3.548133892336e-01  1.319116789678e+02 -1.162949673586e+00 
 3.630780547701e-01  1.317425384880e+02 -1.171267205001e+00 
 3.715352290972e-01  1.315722152183e+02 -1.179452250586e+00 
 3.801893963206e-01  1.314007468449e+02 -1.187504762253e+00 
 3.890451449943e-01  1.312281704378e+02 -1.195424831317e+00 
 3.981071705535e-01  1.310545224138e+02 -1.203212681620e+00 
 4.073802778041e-01  1.308798385044e+02 -1.210868662653e+00 
 4.168693834703e-01  1.307041537272e+02 -1.218393242726e+00 
