 frequency           gain_db             phase_rad          
 1.000000000000e-01  7.841666559488e+01 -3.059822228411e-04 
 1.004615790278e-01  7.841666559112e+01 -3.073957038464e-04 
 1.009252886077e-01  7.841666558732e+01 -3.088157039843e-04 
 1.013911385737e-01  7.841666558348e+01 -3.102422533698e-04 
 1.018591388054e-01  7.841666557961e+01 -3.116753822564e-04 
 1.023292992281e-01  7.841666557571e+01 -3.131151210375e-04 
 1.028016298126e-01  7.841666557177e+01 -3.145615002464e-04 
 1.032761405761e-01  7.841666556779e+01 -3.160145505575e-04 
 1.037528415818e-01  7.841666556377e+01 -3.174743027864e-04 
 1.042317429393e-01  7.841666555972e+01 -3.189407878911e-04 
 1.047128548051e-01  7.841666555563e+01 -3.204140369721e-04 
 1.051961873823e-01  7.841666555150e+01 -3.218940812735e-04 
 1.056817509214e-01  7.841666554733e+01 -3.233809521837e-04 
 1.061695557199e-01  7.841666554313e+01 -3.248746812354e-04 
 1.066596121230e-01  7.841666553888e+01 -3.263753001072e-04 
 1.071519305238e-01  7.841666553460e+01 -3.278828406237e-04 
 1.076465213630e-01  7.841666553028e+01 -3.293973347561e-04 
 1.081433951298e-01  7.841666552592e+01 -3.309188146232e-04 
 1.086425623617e-01  7.841666552151e+01 -3.324473124921e-04 
 1.091440336449e-01  7.841666551707e+01 -3.339828607784e-04 
 1.096478196143e-01  7.841666551258e+01 -3.355254920475e-04 
 1.101539309541e-01  7.841666550806e+01 -3.370752390150e-04 
 1.106623783978e-01  7.841666550349e+01 -3.386321345472e-04 
 1.111731727282e-01  7.841666549888e+01 -3.401962116622e-04 
 1.116863247781e-01  7.841666549423e+01 -3.417675035304e-04 
 1.122018454302e-01  7.841666548953e+01 -3.433460434750e-04 
 1.127197456176e-01  7.841666548479e+01 -3.449318649732e-04 
 1.132400363236e-01  7.841666548001e+01 -3.465250016563e-04 
 1.137627285823e-01  7.841666547518e+01 -3.481254873111e-04 
 1.142878334790e-01  7.841666547031e+01 -3.497333558801e-04 
