 frequency              v(net6)                v(net6)               
 1.000000000000000e+00  2.848757755308801e+02 -3.090258598333640e-02 
 1.004615790278395e+00  2.848757754999191e+02 -3.104522583592768e-02 
 1.009252886076685e+00  2.848757754686719e+02 -3.118852408411706e-02 
 1.013911385736679e+00  2.848757754371354e+02 -3.133248376691980e-02 
 1.018591388054117e+00  2.848757754053071e+02 -3.147710793737875e-02 
 1.023292992280754e+00  2.848757753731844e+02 -3.162239966262889e-02 
 1.028016298126474e+00  2.848757753407644e+02 -3.176836202396245e-02 
 1.032761405761398e+00  2.848757753080444e+02 -3.191499811689427e-02 
 1.037528415818013e+00  2.848757752750216e+02 -3.206231105122743e-02 
 1.042317429393305e+00  2.848757752416934e+02 -3.221030395111912e-02 
 1.047128548050900e+00  2.848757752080566e+02 -3.235897995514708e-02 
 1.051961873823223e+00  2.848757751741088e+02 -3.250834221637602e-02 
 1.056817509213659e+00  2.848757751398466e+02 -3.265839390242450e-02 
 1.061695557198725e+00  2.848757751052676e+02 -3.280913819553215e-02 
 1.066596121230259e+00  2.848757750703685e+02 -3.296057829262717e-02 
 1.071519305237607e+00  2.848757750351467e+02 -3.311271740539407e-02 
 1.076465213629836e+00  2.848757749995988e+02 -3.326555876034173e-02 
 1.081433951297939e+00  2.848757749637220e+02 -3.341910559887209e-02 
 1.086425623617066e+00  2.848757749275133e+02 -3.357336117734857e-02 
 1.091440336448757e+00  2.848757748909696e+02 -3.372832876716533e-02 
 1.096478196143186e+00  2.848757748540876e+02 -3.388401165481653e-02 
 1.101539309541416e+00  2.848757748168645e+02 -3.404041314196618e-02 
 1.106623783977668e+00  2.848757747792968e+02 -3.419753654551794e-02 
 1.111731727281593e+00  2.848757747413817e+02 -3.435538519768573e-02 
 1.116863247780562e+00  2.848757747031157e+02 -3.451396244606416e-02 
 1.122018454301965e+00  2.848757746644956e+02 -3.467327165369965e-02 
 1.127197456175512e+00  2.848757746255182e+02 -3.483331619916172e-02 
 1.132400363235559e+00  2.848757745861802e+02 -3.499409947661467e-02 
 1.137627285823432e+00  2.848757745464781e+02 -3.515562489588953e-02 
 1.142878334789773e+00  2.848757745064087e+02 -3.531789588255638e-02 
 1.148153621496884e+00  2.848757744659684e+02 -3.548091587799690e-02 
 1.153453257821094e+00  2.848757744251541e+02 -3.564468833947766e-02 
 1.158777356155128e+00  2.848757743839620e+02 -3.580921674022308e-02 
 1.164126029410493e+00  2.848757743423889e+02 -3.597450456948928e-02 
 1.169499391019873e+00  2.848757743004310e+02 -3.614055533263803e-02 
 1.174897554939532e+00  2.848757742580849e+02 -3.630737255121115e-02 
 1.180320635651732e+00  2.848757742153470e+02 -3.647495976300508e-02 
 1.185768748167162e+00  2.848757741722137e+02 -3.664332052214602e-02 
 1.191242008027377e+00  2.848757741286813e+02 -3.681245839916521e-02 
 1.196740531307246e+00  2.848757740847460e+02 -3.698237698107472e-02 
