 time                v(signal)           v(out)              i(vdd)             
 0.000000000000e+00  4.000000000000e-01  3.999388904249e-01 -7.578105666163e-04 
 5.000000000000e-11  4.000000000000e-01  3.999388904249e-01 -7.578105666302e-04 
 1.000000000000e-10  4.000000000000e-01  3.999388904249e-01 -7.578105666297e-04 
 2.000000000000e-10  4.000000000000e-01  3.999388904249e-01 -7.578105666122e-04 
 4.000000000000e-10  4.000000000000e-01  3.999388904249e-01 -7.578105666334e-04 
 8.000000000000e-10  4.000000000000e-01  3.999388904249e-01 -7.578105666446e-04 
 1.600000000000e-09  4.000000000000e-01  3.999388904249e-01 -7.578105665514e-04 
 3.200000000000e-09  4.000000000000e-01  3.999388904249e-01 -7.578105665838e-04 
 6.400000000000e-09  4.000000000000e-01  3.999388904249e-01 -7.578105666278e-04 
 1.140000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105666109e-04 
 1.640000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105666180e-04 
 2.140000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105666225e-04 
 2.640000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105665933e-04 
 3.140000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105665955e-04 
 3.640000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105666028e-04 
 4.140000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105666004e-04 
 4.640000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105665926e-04 
 5.140000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105666108e-04 
 5.640000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105666264e-04 
 6.140000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105665808e-04 
 6.640000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105665965e-04 
 7.140000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105666244e-04 
 7.640000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105665817e-04 
 8.140000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105666048e-04 
 8.640000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105666285e-04 
 9.140000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105665793e-04 
 9.640000000000e-08  4.000000000000e-01  3.999388904249e-01 -7.578105665956e-04 
 1.014000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666108e-04 
 1.064000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665951e-04 
 1.114000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666277e-04 
 1.164000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666285e-04 
 1.214000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665937e-04 
 1.264000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666228e-04 
 1.314000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665972e-04 
 1.364000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665951e-04 
 1.414000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665956e-04 
 1.464000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666293e-04 
 1.514000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665953e-04 
 1.564000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666022e-04 
 1.614000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666272e-04 
 1.664000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665950e-04 
 1.714000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665953e-04 
 1.764000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666287e-04 
 1.814000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666287e-04 
 1.864000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665954e-04 
 1.914000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666298e-04 
 1.964000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665848e-04 
 2.014000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665815e-04 
 2.064000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665895e-04 
 2.114000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666070e-04 
 2.164000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666256e-04 
 2.214000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665809e-04 
 2.264000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666067e-04 
 2.314000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665951e-04 
 2.364000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665927e-04 
 2.414000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666290e-04 
 2.464000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666042e-04 
 2.514000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665982e-04 
 2.564000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665945e-04 
 2.614000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665970e-04 
 2.664000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666030e-04 
 2.714000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665825e-04 
 2.764000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665949e-04 
 2.814000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666201e-04 
 2.864000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665968e-04 
 2.914000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665971e-04 
 2.964000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666295e-04 
 3.014000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665807e-04 
 3.064000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665965e-04 
 3.114000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665943e-04 
 3.164000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666021e-04 
 3.214000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666013e-04 
 3.264000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665967e-04 
 3.314000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665959e-04 
 3.364000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665967e-04 
 3.414000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666264e-04 
 3.464000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666033e-04 
 3.514000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665984e-04 
 3.564000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665939e-04 
 3.614000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665954e-04 
 3.664000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666268e-04 
 3.714000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666024e-04 
 3.764000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665973e-04 
 3.814000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666120e-04 
 3.864000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666195e-04 
 3.914000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666276e-04 
 3.964000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665804e-04 
 4.014000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665994e-04 
 4.064000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666123e-04 
 4.114000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666204e-04 
 4.164000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666266e-04 
 4.214000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666018e-04 
 4.264000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665995e-04 
 4.314000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665941e-04 
 4.364000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666284e-04 
 4.414000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105665826e-04 
 4.464000000000e-07  4.000000000000e-01  3.999388904249e-01 -7.578105666016e-04 
