 time                v(signal)           v(out)              i(vdd)             
 0.000000000000e+00  3.000000000000e-01  2.891614774343e-01 -8.188196273772e-04 
 5.000000000000e-11  3.000000000000e-01  2.891614774343e-01 -8.188196273740e-04 
 1.000000000000e-10  3.000000000000e-01  2.891614774343e-01 -8.188196273737e-04 
 2.000000000000e-10  3.000000000000e-01  2.891614774343e-01 -8.188196273736e-04 
 4.000000000000e-10  3.000000000000e-01  2.891614774343e-01 -8.188196273801e-04 
 8.000000000000e-10  3.000000000000e-01  2.891614774343e-01 -8.188196273796e-04 
 1.600000000000e-09  3.000000000000e-01  2.891614774343e-01 -8.188196273715e-04 
 3.200000000000e-09  3.000000000000e-01  2.891614774343e-01 -8.188196273821e-04 
 6.400000000000e-09  3.000000000000e-01  2.891614774343e-01 -8.188196273858e-04 
 1.140000000000e-08  3.000000000000e-01  2.891614774343e-01 -8.188196273772e-04 
 1.640000000000e-08  3.000000000000e-01  2.891614774343e-01 -8.188196273767e-04 
 2.140000000000e-08  3.000000000000e-01  2.891614774343e-01 -8.188196273766e-04 
 2.640000000000e-08  3.000000000000e-01  2.891614774343e-01 -8.188196273766e-04 
 3.140000000000e-08  3.000000000000e-01  2.891614774343e-01 -8.188196273767e-04 
 3.640000000000e-08  3.000000000000e-01  2.891614774343e-01 -8.188196273767e-04 
 4.140000000000e-08  3.000000000000e-01  2.891614774343e-01 -8.188196273767e-04 
 4.640000000000e-08  3.000000000000e-01  2.891614774343e-01 -8.188196273770e-04 
 5.140000000000e-08  3.000000000000e-01  2.891614774343e-01 -8.188196273768e-04 
 5.640000000000e-08  3.000000000000e-01  2.891614774343e-01 -8.188196273767e-04 
 6.140000000000e-08  3.000000000000e-01  2.891614774343e-01 -8.188196273765e-04 
 6.640000000000e-08  3.000000000000e-01  2.891614774343e-01 -8.188196273767e-04 
 7.140000000000e-08  3.000000000000e-01  2.891614774343e-01 -8.188196273767e-04 
 7.640000000000e-08  3.000000000000e-01  2.891614774343e-01 -8.188196273769e-04 
