 frequency           gain_db             phase_rad          
 1.000000000000e-01  1.318293878936e+02 -3.287799382885e-01 
 1.023292992281e-01  1.318081011588e+02 -3.358807678314e-01 
 1.047128548051e-01  1.317859224765e+02 -3.431107287144e-01 
 1.071519305238e-01  1.317628193048e+02 -3.504706299982e-01 
 1.096478196143e-01  1.317387583223e+02 -3.579611836555e-01 
 1.122018454302e-01  1.317137054447e+02 -3.655829980272e-01 
 1.148153621497e-01  1.316876258438e+02 -3.733365711612e-01 
 1.174897554940e-01  1.316604839708e+02 -3.812222840574e-01 
 1.202264434617e-01  1.316322435838e+02 -3.892403938423e-01 
 1.230268770812e-01  1.316028677793e+02 -3.973910269028e-01 
 1.258925411794e-01  1.315723190271e+02 -4.056741720089e-01 
 1.288249551693e-01  1.315405592113e+02 -4.140896734582e-01 
 1.318256738556e-01  1.315075496746e+02 -4.226372242815e-01 
 1.348962882592e-01  1.314732512677e+02 -4.313163595453e-01 
 1.380384264603e-01  1.314376244037e+02 -4.401264497969e-01 
 1.412537544623e-01  1.314006291174e+02 -4.490666946947e-01 
 1.445439770746e-01  1.313622251292e+02 -4.581361168721e-01 
 1.479108388168e-01  1.313223719145e+02 -4.673335560850e-01 
 1.513561248436e-01  1.312810287777e+02 -4.766576636933e-01 
 1.548816618912e-01  1.312381549308e+02 -4.861068975308e-01 
 1.584893192461e-01  1.311937095778e+02 -4.956795172180e-01 
 1.621810097359e-01  1.311476520021e+02 -5.053735799711e-01 
 1.659586907438e-01  1.310999416602e+02 -5.151869369659e-01 
 1.698243652462e-01  1.310505382776e+02 -5.251172303088e-01 
 1.737800828749e-01  1.309994019503e+02 -5.351618906700e-01 
 1.778279410039e-01  1.309464932487e+02 -5.453181356324e-01 
 1.819700858610e-01  1.308917733246e+02 -5.555829688046e-01 
 1.862087136663e-01  1.308352040217e+02 -5.659531797463e-01 
 1.905460717963e-01  1.307767479870e+02 -5.764253447499e-01 
 1.949844599758e-01  1.307163687847e+02 -5.869958285145e-01 
 1.995262314969e-01  1.306540310104e+02 -5.976607867492e-01 
 2.041737944670e-01  1.305897004062e+02 -6.084161697301e-01 
 2.089296130854e-01  1.305233439744e+02 -6.192577268330e-01 
 2.137962089502e-01  1.304549300910e+02 -6.301810120548e-01 
 2.187761623950e-01  1.303844286170e+02 -6.411813905288e-01 
 2.238721138568e-01  1.303118110069e+02 -6.522540460301e-01 
 2.290867652768e-01  1.302370504137e+02 -6.633939894600e-01 
 2.344228815320e-01  1.301601217900e+02 -6.745960682874e-01 
 2.398832919019e-01  1.300810019841e+02 -6.858549769172e-01 
 2.454708915685e-01  1.299996698301e+02 -6.971652679451e-01 
 2.511886431510e-01  1.299161062316e+02 -7.085213642511e-01 
 2.570395782769e-01  1.298302942385e+02 -7.199175718727e-01 
 2.630267991895e-01  1.297422191161e+02 -7.313480935915e-01 
 2.691534803927e-01  1.296518684051e+02 -7.428070431596e-01 
 2.754228703338e-01  1.295592319739e+02 -7.542884600830e-01 
 2.818382931264e-01  1.294643020602e+02 -7.657863248752e-01 
 2.884031503127e-01  1.293670733043e+02 -7.772945746863e-01 
 2.951209226666e-01  1.292675427713e+02 -7.888071192105e-01 
 3.019951720402e-01  1.291657099636e+02 -8.003178567703e-01 
 3.090295432514e-01  1.290615768232e+02 -8.118206904738e-01 
 3.162277660168e-01  1.289551477231e+02 -8.233095443416e-01 
 3.235936569296e-01  1.288464294491e+02 -8.347783792986e-01 
 3.311311214826e-01  1.287354311712e+02 -8.462212089285e-01 
 3.388441561392e-01  1.286221644053e+02 -8.576321148925e-01 
 3.467368504525e-01  1.285066429649e+02 -8.690052619150e-01 
 3.548133892336e-01  1.283888829047e+02 -8.803349122476e-01 
 3.630780547701e-01  1.282689024545e+02 -8.916154395259e-01 
 3.715352290972e-01  1.281467219460e+02 -9.028413419424e-01 
 3.801893963206e-01  1.280223637318e+02 -9.140072546650e-01 
 3.890451449943e-01  1.278958520975e+02 -9.251079614404e-01 
 3.981071705535e-01  1.277672131680e+02 -9.361384053296e-01 
 4.073802778041e-01  1.276364748087e+02 -9.470936985311e-01 
 4.168693834703e-01  1.275036665219e+02 -9.579691312591e-01 
 4.265795188016e-01  1.273688193391e+02 -9.687601796495e-01 
 4.365158322402e-01  1.272319657114e+02 -9.794625126806e-01 
 4.466835921510e-01  1.270931393966e+02 -9.900719980988e-01 
 4.570881896149e-01  1.269523753455e+02 -1.000584707354e+00 
 4.677351412872e-01  1.268097095870e+02 -1.010996919553e+00 
 4.786300923226e-01  1.266651791139e+02 -1.021305124445e+00 
 4.897788193684e-01  1.265188217686e+02 -1.031506024478e+00 
 5.011872336273e-01  1.263706761305e+02 -1.041596535934e+00 
 5.128613839914e-01  1.262207814051e+02 -1.051573789198e+00 
 5.248074602498e-01  1.260691773160e+02 -1.061435128202e+00 
 5.370317963703e-01  1.259159039987e+02 -1.071178109077e+00 
 5.495408738576e-01  1.257610018990e+02 -1.080800498069e+00 
 5.623413251903e-01  1.256045116744e+02 -1.090300268778e+00 
 5.754399373372e-01  1.254464740994e+02 -1.099675598760e+00 
 5.888436553556e-01  1.252869299757e+02 -1.108924865558e+00 
 6.025595860744e-01  1.251259200463e+02 -1.118046642208e+00 
 6.165950018615e-01  1.249634849148e+02 -1.127039692283e+00 
 6.309573444802e-01  1.247996649693e+02 -1.135902964530e+00 
 6.456542290347e-01  1.246345003113e+02 -1.144635587141e+00 
 6.606934480076e-01  1.244680306894e+02 -1.153236861734e+00 
 6.760829753920e-01  1.243002954381e+02 -1.161706257066e+00 
 6.918309709189e-01  1.241313334216e+02 -1.170043402552e+00 
 7.079457843841e-01  1.239611829823e+02 -1.178248081619e+00 
 7.244359600750e-01  1.237898818943e+02 -1.186320224947e+00 
 7.413102413009e-01  1.236174673212e+02 -1.194259903632e+00 
 7.585775750292e-01  1.234439757789e+02 -1.202067322316e+00 
 7.762471166287e-01  1.232694431021e+02 -1.209742812310e+00 
 7.943282347243e-01  1.230939044160e+02 -1.217286824751e+00 
 8.128305161641e-01  1.229173941109e+02 -1.224699923811e+00 
 8.317637711027e-01  1.227399458214e+02 -1.231982779999e+00 
 8.511380382024e-01  1.225615924089e+02 -1.239136163565e+00 
 8.709635899561e-01  1.223823659475e+02 -1.246160938035e+00 
 8.912509381337e-01  1.222022977136e+02 -1.253058053890e+00 
 9.120108393559e-01  1.220214181774e+02 -1.259828542410e+00 
 9.332543007970e-01  1.218397569985e+02 -1.266473509694e+00 
 9.549925860214e-01  1.216573430234e+02 -1.272994130862e+00 
 9.772372209558e-01  1.214742042852e+02 -1.279391644453e+00 
 1.000000000000e+00  1.212903680061e+02 -1.285667347031e+00 
 1.023292992281e+00  1.211058606015e+02 -1.291822587989e+00 
 1.047128548051e+00  1.209207076861e+02 -1.297858764571e+00 
 1.071519305238e+00  1.207349340814e+02 -1.303777317102e+00 
 1.096478196143e+00  1.205485638253e+02 -1.309579724433e+00 
 1.122018454302e+00  1.203616201823e+02 -1.315267499602e+00 
